,PC1,PC2,Countries
0,-0.009550090361538336,0.280411797094363,"UE27
EU27"
1,1.2177807930204245,1.3749151015415906,BE
2,-1.925462006887148,-1.4871872582494536,BG
3,-3.384000606256793,-0.005389702579447762,CZ
4,1.3958352352273744,0.713087076128047,DK
5,0.9469714035431072,0.6871808312756215,D-W
6,0.42560712210473867,0.6197100671144294,DE
7,-1.4518576997922588,0.5469587821995355,D-E
8,-2.8984361198430193,-1.6790146137617403,EE
9,0.8506411145057134,-0.9388112795943004,IE
10,1.589322629340595,0.6420778093387006,EL
11,1.3143139262984194,-1.2802191052282923,ES
12,0.43198257544043855,-2.5228815873360007,FR
13,-0.12395810501385625,1.6108217897357422,HR
14,0.26964026771720523,1.1508034470169268,IT
15,2.542952540706791,-1.0197912065187107,CY
16,-0.910549365332662,-1.6527964158409048,LV
17,-0.28974978479682745,-1.158490308276839,LT
18,2.803903331489057,-0.9436474089395754,LU
19,-0.820069170354223,2.511130333335306,HU
20,3.3453508538080774,-0.5073297141826567,MT
21,1.1560873225602046,1.4389619641133617,NL
22,-2.273350596054214,0.09330682659329394,AT
23,-2.9433150949290705,1.3429672124306435,PL
24,0.4792994005350619,-2.2018388947980845,PT
25,-3.0109487308660703,-1.0367051497400808,RO
26,2.093147021486666,-1.0659560604114284,SI
27,-1.3459270385842794,0.8324270324569661,SK
28,-1.0001805176712528,1.0799197305482016,FI
29,1.5245193889593391,2.575378904534788,SE
